site,cluster,tech,pathway_year,earliest,latest,n_worlds,forecast_year,cap_forced
7 Steel Manufacturing (UK) Ltd – Rod & Bar Mill,Unmapped,eaf,2028.0,2028,2028,7,2028.0,
AH Marks Bradford CHP,Dispersed,biomass_boiler,2042.0,2042,2042,7,,yes
AH Marks Bradford CHP,Dispersed,elec_boiler,2046.0,2044,2046,6,,yes
AH Marks Bradford CHP,Dispersed,gas_boiler_ccs,2044.0,2040,2044,6,,yes
AH Marks Bradford CHP,Dispersed,heat_pump,,2040,2040,1,,yes
AH Marks Bradford CHP,Dispersed,hydrogen_boiler,2040.0,2038,2040,6,,yes
Aberthaw Cement Plant,Dispersed,cement_kiln_ccs,2028.0,2028,2038,7,2028.0,
Allerton Waste Recovery Park,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Allerton Waste Recovery Park,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Allied Glass Containers Ltd - Knottingley,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2034.0,earlier
Allington Quarry,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Allington Quarry,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Archer Daniels Midland Erith Ltd,Unmapped,biomass_boiler,2032.0,2028,2032,6,,yes
Archer Daniels Midland Erith Ltd,Unmapped,elec_boiler,,2044,2044,2,,yes
Archer Daniels Midland Erith Ltd,Unmapped,gas_boiler_ccs,2028.0,2028,2036,7,,yes
Archer Daniels Midland Erith Ltd,Unmapped,heat_pump,2042.0,2034,2042,6,,yes
Archer Daniels Midland Erith Ltd,Unmapped,hydrogen_boiler,2034.0,2028,2034,7,,yes
Ardagh Glass - Headlands,Unmapped,hydrogen_boiler,2032.0,2030,2032,7,2038.0,earlier
Ardagh Glass - Wheatley,Unmapped,elec_boiler,,2044,2044,1,,yes
Ardagh Glass - Wheatley,Unmapped,gas_boiler_ccs,2028.0,2028,2032,7,,yes
Ardagh Glass - Wheatley,Unmapped,heat_pump,,2036,2042,2,,yes
Ardagh Glass - Wheatley,Unmapped,hydrogen_boiler,2032.0,2030,2032,7,,yes
Ardagh Glass Limited,Unmapped,elec_boiler,,2044,2044,2,,yes
Ardagh Glass Limited,Unmapped,gas_boiler_ccs,2028.0,2028,2028,6,,yes
Ardagh Glass Limited,Unmapped,heat_pump,2038.0,2034,2038,7,,yes
Ardagh Glass Limited,Unmapped,hydrogen_boiler,2032.0,2028,2032,7,,yes
Ardagh Glass Ltd,Unmapped,biomass_boiler,,2028,2028,1,,yes
Ardagh Glass Ltd,Unmapped,elec_boiler,,2044,2044,1,,yes
Ardagh Glass Ltd,Unmapped,gas_boiler_ccs,2030.0,2028,2034,7,,yes
Ardagh Glass Ltd,Unmapped,heat_pump,2038.0,2036,2040,7,,yes
Ardagh Glass Ltd,Unmapped,hydrogen_boiler,2034.0,2028,2034,7,,yes
Ardley Landfill,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Ardley Landfill,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Austerfield Works,Dispersed,biomass_boiler,2040.0,2040,2042,7,,yes
Austerfield Works,Dispersed,elec_boiler,2046.0,2044,2046,6,,yes
Austerfield Works,Dispersed,gas_boiler_ccs,2044.0,2040,2046,7,,yes
Austerfield Works,Dispersed,hydrogen_boiler,,2038,2040,2,,yes
Barrow Mill,Dispersed,biomass_boiler,2028.0,2028,2028,4,,yes
Barrow Mill,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,,yes
Barry,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Barry,Dispersed,elec_boiler,,2044,2048,2,,yes
Barry,Dispersed,heat_pump,2046.0,2046,2046,6,,yes
Battlefield EfW,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Battlefield EfW,Dispersed,elec_boiler,2046.0,2044,2048,7,,yes
Battlefield EfW,Dispersed,gas_boiler_ccs,,2042,2042,1,,yes
Battlefield EfW,Dispersed,heat_pump,2048.0,2046,2048,6,,yes
Beatson Clark plc - Rotherham,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2034.0,earlier
Beckton STW,Dispersed,biomass_boiler,2044.0,2044,2044,6,,yes
Beckton STW,Dispersed,elec_boiler,2048.0,2048,2048,6,,yes
Beckton STW,Dispersed,gas_boiler_ccs,,2048,2048,1,,yes
Beckton STW,Dispersed,hydrogen_boiler,2042.0,2042,2044,7,,yes
Beddington ERF,Dispersed,biomass_boiler,,2042,2042,1,,yes
Beddington ERF,Dispersed,gas_boiler_ccs,2044.0,2040,2044,6,,yes
Beddington ERF,Dispersed,heat_pump,,2040,2044,2,,yes
Beddington ERF,Dispersed,hydrogen_boiler,2038.0,2038,2042,7,,yes
Belfast,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Belfast,Dispersed,elec_boiler,,2050,2050,1,,yes
Belfast,Dispersed,gas_boiler_ccs,,2046,2046,1,,yes
Belfast,Dispersed,heat_pump,2044.0,2044,2046,7,,yes
Belfast,Dispersed,hydrogen_boiler,,2042,2050,2,,yes
Belfast (2),Dispersed,biomass_boiler,2042.0,2042,2042,5,,yes
Belfast (2),Dispersed,elec_boiler,2044.0,2044,2046,6,,yes
Belfast (2),Dispersed,gas_boiler_ccs,,2042,2044,2,,yes
Belfast (2),Dispersed,heat_pump,2050.0,2042,2050,6,,yes
Belfast (2),Dispersed,hydrogen_boiler,,2050,2050,2,,yes
Belvedere,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Belvedere,Dispersed,gas_boiler_ccs,2042.0,2042,2042,7,,yes
Billingham Fertilizer Works,Unmapped,hydrogen_boiler,2030.0,2030,2030,7,,yes
Bolton,Dispersed,biomass_boiler,2042.0,2042,2042,7,,yes
Bolton,Dispersed,elec_boiler,,2044,2044,1,,yes
Bolton,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Bolton,Dispersed,heat_pump,2046.0,2046,2046,6,,yes
Bolton,Dispersed,hydrogen_boiler,2048.0,2048,2048,6,,yes
Bones Lane Factory,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2034.0,earlier
Bridgend Operation,South Wales,hydrogen_boiler,2032.0,2030,2032,7,2038.0,earlier
Bridgewater Diary,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Bridgewater Diary,Dispersed,elec_boiler,2044.0,2044,2046,6,,yes
Bridgewater Diary,Dispersed,heat_pump,,2044,2044,1,,yes
Bridgewater Diary,Dispersed,hydrogen_boiler,,2044,2044,1,,yes
British Sugar plc - Newark,Dispersed,biomass_boiler,,2030,2030,1,,yes
British Sugar plc - Newark,Dispersed,elec_boiler,,2044,2044,1,,yes
British Sugar plc - Newark,Dispersed,gas_boiler_ccs,2028.0,2028,2032,7,,yes
British Sugar plc - Newark,Dispersed,heat_pump,2038.0,2036,2038,7,,yes
British Sugar plc - Newark,Dispersed,hydrogen_boiler,2034.0,2028,2034,7,,yes
Bromborough,Merseyside,biomass_boiler,2040.0,2040,2046,7,,yes
Bromborough,Merseyside,gas_boiler_ccs,,2046,2046,1,,yes
Bromborough,Merseyside,heat_pump,2046.0,2042,2046,6,,yes
Bromborough,Merseyside,hydrogen_boiler,,2038,2046,4,,yes
Broomfleet Works,Humberside,biomass_boiler,2042.0,2042,2042,6,,yes
Broomfleet Works,Humberside,elec_boiler,2046.0,2046,2046,6,,yes
Broomfleet Works,Humberside,gas_boiler_ccs,,2046,2046,1,,yes
Broomfleet Works,Humberside,hydrogen_boiler,,2042,2042,1,,yes
Burton Latimer,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Burton Latimer,Dispersed,elec_boiler,2048.0,2048,2048,6,,yes
Burton Latimer,Dispersed,gas_boiler_ccs,,2046,2046,1,,yes
Burton Latimer,Dispersed,heat_pump,2046.0,2042,2046,7,,yes
Bury St Edmunds Sugar Factory,Dispersed,biomass_boiler,,2028,2028,1,2042.0,
Bury St Edmunds Sugar Factory,Dispersed,elec_boiler,,2044,2044,1,,yes
Bury St Edmunds Sugar Factory,Dispersed,gas_boiler_ccs,2032.0,2032,2034,7,2038.0,earlier
Bury St Edmunds Sugar Factory,Dispersed,heat_pump,2038.0,2036,2038,7,,yes
Bury St Edmunds Sugar Factory,Dispersed,hydrogen_boiler,2034.0,2028,2034,7,2040.0,earlier
Cambuslang,Dispersed,elec_boiler,,2046,2046,1,,yes
Cambuslang,Dispersed,gas_boiler_ccs,,2050,2050,1,,yes
Cambuslang,Dispersed,heat_pump,2046.0,2046,2048,7,,yes
Cambuslang,Dispersed,hydrogen_boiler,2042.0,2042,2042,7,,yes
Cantley Sugar Factory,Unmapped,hydrogen_boiler,2032.0,2030,2032,7,2036.0,earlier
Cargill - Trafford Park,Dispersed,elec_boiler,,2044,2044,1,,yes
Cargill - Trafford Park,Dispersed,gas_boiler_ccs,2028.0,2028,2032,7,,yes
Cargill - Trafford Park,Dispersed,heat_pump,2036.0,2036,2040,7,,yes
Cargill - Trafford Park,Dispersed,hydrogen_boiler,2030.0,2028,2030,7,,yes
Cauldon Cement,Dispersed,cement_kiln_ccs,2028.0,2028,2028,6,2028.0,
Caw House,Dispersed,elec_boiler,2046.0,2046,2046,7,,yes
Caw House,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Caw House,Dispersed,heat_pump,2042.0,2042,2048,6,,yes
Caw House,Dispersed,hydrogen_boiler,,2042,2042,2,,yes
Chineham,Dispersed,biomass_boiler,2040.0,2040,2042,7,,yes
Chineham,Dispersed,elec_boiler,2046.0,2046,2046,7,,yes
Chineham,Dispersed,gas_boiler_ccs,,2040,2040,1,,yes
Chineham,Dispersed,heat_pump,,2040,2044,2,,yes
Chineham,Dispersed,hydrogen_boiler,,2038,2040,2,,yes
Chirnside,Dispersed,biomass_boiler,,2042,2042,1,,yes
Chirnside,Dispersed,elec_boiler,,2046,2046,1,,yes
Chirnside,Dispersed,heat_pump,,2040,2040,1,,yes
Chirnside,Dispersed,hydrogen_boiler,2038.0,2038,2040,7,,yes
Colnbrook,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Colnbrook,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Cookstown Cement,Dispersed,cement_kiln_ccs,2028.0,2028,2050,7,2028.0,
Cornwall Energy Recovery Centre,Dispersed,biomass_boiler,2040.0,2040,2042,6,,yes
Cornwall Energy Recovery Centre,Dispersed,gas_boiler_ccs,,2040,2040,1,,yes
Cornwall Energy Recovery Centre,Dispersed,heat_pump,,2040,2040,1,,yes
Cornwall Energy Recovery Centre,Dispersed,hydrogen_boiler,2038.0,2038,2044,7,,yes
Coventry,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Coventry,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Cowley,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Cowley,Dispersed,elec_boiler,,2046,2046,1,,yes
Cowley,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Cowley,Dispersed,heat_pump,,2040,2040,1,,yes
Cowley,Dispersed,hydrogen_boiler,2038.0,2038,2040,7,,yes
Craigavon,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Craigavon,Dispersed,elec_boiler,2046.0,2046,2046,6,,yes
Craigavon,Dispersed,gas_boiler_ccs,2044.0,2044,2048,7,,yes
Craigavon,Dispersed,hydrogen_boiler,,2042,2042,1,,yes
Cramlington,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Cramlington,Dispersed,elec_boiler,2046.0,2044,2046,7,,yes
Cramlington,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Cramlington,Dispersed,heat_pump,,2042,2042,1,,yes
DSM Dalry,Dispersed,biomass_boiler,2028.0,2028,2028,6,,yes
DSM Dalry,Dispersed,elec_boiler,,2044,2044,2,,yes
DSM Dalry,Dispersed,gas_boiler_ccs,2028.0,2028,2034,6,,yes
DSM Dalry,Dispersed,heat_pump,2042.0,2036,2042,7,,yes
DSM Dalry,Dispersed,hydrogen_boiler,2030.0,2028,2030,7,,yes
Darley Dale,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Darley Dale,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Davidstow Creamery,Dispersed,elec_boiler,2046.0,2046,2046,7,,yes
Davidstow Creamery,Dispersed,heat_pump,2044.0,2040,2044,6,,yes
Davidstow Creamery,Dispersed,hydrogen_boiler,2042.0,2042,2042,7,,yes
"Deeside Industrial Estate, Deeside",Merseyside,biomass_boiler,2040.0,2040,2044,6,,yes
"Deeside Industrial Estate, Deeside",Merseyside,elec_boiler,,2044,2044,1,,yes
"Deeside Industrial Estate, Deeside",Merseyside,heat_pump,,2042,2042,1,,yes
"Deeside Industrial Estate, Deeside",Merseyside,hydrogen_boiler,2038.0,2038,2040,7,,yes
Desford,Dispersed,hydrogen_boiler,2030.0,2030,2030,7,,yes
Doncaster,Dispersed,biomass_boiler,,2042,2042,1,,yes
Doncaster,Dispersed,elec_boiler,2046.0,2044,2048,7,,yes
Doncaster,Dispersed,gas_boiler_ccs,2044.0,2044,2048,7,,yes
Doncaster,Dispersed,hydrogen_boiler,2042.0,2042,2042,6,,yes
Dorket Head Brickworks,Dispersed,biomass_boiler,2040.0,2040,2042,7,,yes
Dorket Head Brickworks,Dispersed,elec_boiler,,2046,2046,1,,yes
Dorket Head Brickworks,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Dorket Head Brickworks,Dispersed,heat_pump,,2040,2040,1,,yes
Dorket Head Brickworks,Dispersed,hydrogen_boiler,,2038,2040,3,,yes
Dow Silicone Manufacturing Installation,Dispersed,biomass_boiler,,2028,2028,1,,yes
Dow Silicone Manufacturing Installation,Dispersed,elec_boiler,,2044,2044,1,,yes
Dow Silicone Manufacturing Installation,Dispersed,gas_boiler_ccs,2032.0,2030,2040,7,,yes
Dow Silicone Manufacturing Installation,Dispersed,heat_pump,2038.0,2036,2038,7,,yes
Dow Silicone Manufacturing Installation,Dispersed,hydrogen_boiler,2032.0,2028,2032,7,,yes
Dudley,Black Country,biomass_boiler,2042.0,2042,2046,7,,yes
Dudley,Black Country,elec_boiler,2046.0,2046,2046,6,,yes
Dudley,Black Country,gas_boiler_ccs,,2042,2042,1,,yes
Dudley,Black Country,heat_pump,,2044,2044,1,,yes
Dumfries,Dispersed,elec_boiler,2046.0,2044,2046,7,,yes
Dumfries,Dispersed,heat_pump,2042.0,2042,2042,6,,yes
Dumfries,Dispersed,hydrogen_boiler,,2042,2042,1,,yes
Dunbar Plant,Dispersed,cement_kiln_ccs,2028.0,2028,2028,6,2028.0,
Duns,Dispersed,gas_boiler_ccs,2044.0,2042,2044,7,,yes
Duns,Dispersed,heat_pump,2046.0,2040,2046,7,,yes
Duns,Dispersed,hydrogen_boiler,2040.0,2038,2040,7,,yes
ETEX Building Performance Limited – Portbury Site,Dispersed,biomass_boiler,,2028,2028,1,,yes
ETEX Building Performance Limited – Portbury Site,Dispersed,elec_boiler,,2044,2044,2,,yes
ETEX Building Performance Limited – Portbury Site,Dispersed,gas_boiler_ccs,2028.0,2028,2028,6,,yes
ETEX Building Performance Limited – Portbury Site,Dispersed,heat_pump,2038.0,2036,2042,7,,yes
ETEX Building Performance Limited – Portbury Site,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,,yes
East Leake Gypsum Works,Dispersed,biomass_boiler,2030.0,2030,2032,6,,yes
East Leake Gypsum Works,Dispersed,elec_boiler,,2044,2044,2,,yes
East Leake Gypsum Works,Dispersed,gas_boiler_ccs,2028.0,2028,2028,6,,yes
East Leake Gypsum Works,Dispersed,heat_pump,2036.0,2036,2038,7,,yes
East Leake Gypsum Works,Dispersed,hydrogen_boiler,2032.0,2028,2032,7,,yes
Eastcroft,Dispersed,biomass_boiler,2040.0,2040,2042,7,,yes
Eastcroft,Dispersed,elec_boiler,,2044,2044,1,,yes
Eastcroft,Dispersed,gas_boiler_ccs,2044.0,2044,2044,6,,yes
Eastcroft,Dispersed,heat_pump,,2040,2040,1,,yes
Eastcroft,Dispersed,hydrogen_boiler,2038.0,2038,2040,7,,yes
Eastham Refinery Limited,Merseyside,hydrogen_boiler,2032.0,2030,2032,7,,yes
Edmonton,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Edmonton,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Elanco AH UK Speke,Merseyside,hydrogen_boiler,2032.0,2030,2032,7,2036.0,earlier
Encirc Glass,Unmapped,elec_boiler,,2044,2044,1,,yes
Encirc Glass,Unmapped,gas_boiler_ccs,2028.0,2028,2032,7,,yes
Encirc Glass,Unmapped,heat_pump,2038.0,2036,2038,7,,yes
Encirc Glass,Unmapped,hydrogen_boiler,2032.0,2028,2032,7,,yes
Encirc Limited,Unmapped,biomass_boiler,,2028,2028,1,,yes
Encirc Limited,Unmapped,elec_boiler,,2044,2044,1,,yes
Encirc Limited,Unmapped,gas_boiler_ccs,2030.0,2030,2034,7,,yes
Encirc Limited,Unmapped,heat_pump,2036.0,2036,2038,7,,yes
Encirc Limited,Unmapped,hydrogen_boiler,2032.0,2028,2032,7,,yes
Essity UK Limited - Prudhoe Mill,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2036.0,earlier
Esso Petroleum Company Limited,Southampton,elec_boiler,2038.0,2036,2038,7,,yes
Esso Petroleum Company Limited,Southampton,heat_pump,2028.0,2028,2028,7,,yes
Exeter EfW,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Exeter EfW,Dispersed,elec_boiler,2044.0,2044,2046,7,,yes
Exeter EfW,Dispersed,gas_boiler_ccs,,2044,2044,1,,yes
Exeter EfW,Dispersed,hydrogen_boiler,,2044,2044,1,,yes
Fawley Chemicals,Unmapped,hydrogen_boiler,2030.0,2030,2030,7,2034.0,earlier
Fawley Refinery,Southampton,elec_boiler,2038.0,2038,2038,7,,yes
Fawley Refinery,Southampton,heat_pump,2028.0,2028,2030,7,,yes
Fife Ethylene Plant,Unmapped,elec_boiler,2038.0,2038,2038,7,,yes
Fife Ethylene Plant,Unmapped,heat_pump,2028.0,2028,2030,7,,yes
Glasgow Recycling & Renewable Energy Centre,Dispersed,biomass_boiler,2040.0,2040,2042,6,,yes
Glasgow Recycling & Renewable Energy Centre,Dispersed,gas_boiler_ccs,,2040,2042,2,,yes
Glasgow Recycling & Renewable Energy Centre,Dispersed,heat_pump,,2040,2040,1,,yes
Glasgow Recycling & Renewable Energy Centre,Dispersed,hydrogen_boiler,,2038,2040,3,,yes
Grangemouth Chemicals,Grangemouth,biomass_boiler,,2028,2028,1,2044.0,
Grangemouth Chemicals,Grangemouth,gas_boiler_ccs,2034.0,2032,2034,7,2036.0,earlier
Grangemouth Chemicals,Grangemouth,heat_pump,2038.0,2034,2038,7,,yes
Grangemouth Chemicals,Grangemouth,hydrogen_boiler,2030.0,2028,2030,7,2038.0,earlier
Great Ryburgh Maltings,Dispersed,biomass_boiler,2042.0,2042,2044,7,,yes
Great Ryburgh Maltings,Dispersed,elec_boiler,2048.0,2048,2048,6,,yes
Great Ryburgh Maltings,Dispersed,heat_pump,2044.0,2044,2046,6,,yes
Greatham,Teesside,biomass_boiler,2042.0,2042,2042,7,,yes
Greatham,Teesside,elec_boiler,2048.0,2048,2048,6,,yes
Greatham,Teesside,gas_boiler_ccs,,2044,2046,2,,yes
Greatham,Teesside,heat_pump,2046.0,2046,2046,6,,yes
Greatmoor EfW,Dispersed,biomass_boiler,2040.0,2040,2042,6,,yes
Greatmoor EfW,Dispersed,elec_boiler,2044.0,2044,2044,4,,yes
Greatmoor EfW,Dispersed,heat_pump,2044.0,2042,2044,5,,yes
Greatmoor EfW,Dispersed,hydrogen_boiler,2038.0,2038,2040,7,,yes
Greenock,Dispersed,elec_boiler,2048.0,2046,2048,7,,yes
Greenock,Dispersed,heat_pump,2042.0,2042,2042,6,,yes
Greenock,Dispersed,hydrogen_boiler,2044.0,2044,2044,7,,yes
Grimsby,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Grimsby,Dispersed,elec_boiler,,2044,2044,1,,yes
Grimsby,Dispersed,heat_pump,,2040,2040,1,,yes
Grimsby,Dispersed,hydrogen_boiler,2038.0,2038,2040,7,,yes
Guardian Industries UK Limited,Humberside,biomass_boiler,,2028,2028,1,,yes
Guardian Industries UK Limited,Humberside,elec_boiler,,2044,2044,1,,yes
Guardian Industries UK Limited,Humberside,gas_boiler_ccs,2030.0,2030,2034,7,,yes
Guardian Industries UK Limited,Humberside,heat_pump,2036.0,2036,2038,7,,yes
Guardian Industries UK Limited,Humberside,hydrogen_boiler,2030.0,2028,2030,7,,yes
Halewood,Merseyside,biomass_boiler,2042.0,2042,2042,6,,yes
Halewood,Merseyside,elec_boiler,,2044,2044,1,,yes
Halewood,Merseyside,heat_pump,2046.0,2040,2046,7,,yes
Halewood,Merseyside,hydrogen_boiler,2040.0,2038,2040,7,,yes
Harlesden,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Harlesden,Dispersed,elec_boiler,2048.0,2044,2048,7,,yes
Harlesden,Dispersed,gas_boiler_ccs,,2048,2048,1,,yes
Harlesden,Dispersed,heat_pump,2046.0,2046,2046,6,,yes
Harlesden,Dispersed,hydrogen_boiler,,2042,2042,1,,yes
Harlow,Dispersed,elec_boiler,2046.0,2046,2046,6,,yes
Harlow,Dispersed,gas_boiler_ccs,,2042,2042,1,,yes
Harlow,Dispersed,heat_pump,,2040,2044,2,,yes
Harlow,Dispersed,hydrogen_boiler,2040.0,2038,2040,7,,yes
Hartlebury Factory,Black Country,biomass_boiler,,2042,2042,1,,yes
Hartlebury Factory,Black Country,elec_boiler,2046.0,2046,2046,7,,yes
Hartlebury Factory,Black Country,heat_pump,2042.0,2042,2044,7,,yes
Hartlebury Factory,Black Country,hydrogen_boiler,,2044,2044,1,,yes
Hindlow Lime,Dispersed,biomass_boiler,,2030,2030,1,,yes
Hindlow Lime,Dispersed,elec_boiler,,2044,2044,1,,yes
Hindlow Lime,Dispersed,gas_boiler_ccs,2028.0,2028,2032,7,,yes
Hindlow Lime,Dispersed,heat_pump,2038.0,2034,2038,7,,yes
Hindlow Lime,Dispersed,hydrogen_boiler,2030.0,2028,2030,7,,yes
Hope Cement Works,Dispersed,cement_kiln_ccs,2028.0,2028,2038,7,2028.0,
Huddersfield,Dispersed,biomass_boiler,2042.0,2042,2042,6,,yes
Huddersfield,Dispersed,elec_boiler,,2044,2044,1,,yes
Huddersfield,Dispersed,gas_boiler_ccs,,2040,2046,2,,yes
Huddersfield,Dispersed,heat_pump,2044.0,2040,2044,6,,yes
Huddersfield,Dispersed,hydrogen_boiler,2040.0,2038,2040,6,,yes
Humber Refinery,Humberside,elec_boiler,2038.0,2036,2038,7,,yes
Humber Refinery,Humberside,heat_pump,2028.0,2028,2028,7,,yes
"Hurdsfield Chp And Energy Centre, Silk Road Business Park",Dispersed,biomass_boiler,2040.0,2040,2042,7,,yes
"Hurdsfield Chp And Energy Centre, Silk Road Business Park",Dispersed,gas_boiler_ccs,,2040,2040,1,,yes
"Hurdsfield Chp And Energy Centre, Silk Road Business Park",Dispersed,heat_pump,,2040,2040,1,,yes
"Hurdsfield Chp And Energy Centre, Silk Road Business Park",Dispersed,hydrogen_boiler,2038.0,2038,2040,6,,yes
Hythe,Southampton,biomass_boiler,2040.0,2040,2044,6,,yes
Hythe,Southampton,heat_pump,2046.0,2040,2046,6,,yes
Hythe,Southampton,hydrogen_boiler,,2038,2040,3,,yes
Hythe (2),Southampton,elec_boiler,2044.0,2044,2044,7,,yes
Hythe (2),Southampton,gas_boiler_ccs,2042.0,2042,2042,6,,yes
INOVYN Chlorvinyls Newton Aycliffe,Teesside,hydrogen_boiler,2030.0,2030,2030,7,,yes
Ibstock Brick Limited - Leicester,Dispersed,hydrogen_boiler,2032.0,2030,2032,7,2038.0,earlier
Ineos Acetyls Hull,Dispersed,biomass_boiler,,2030,2030,1,,yes
Ineos Acetyls Hull,Dispersed,elec_boiler,,2044,2044,1,,yes
Ineos Acetyls Hull,Dispersed,gas_boiler_ccs,2028.0,2028,2034,7,,yes
Ineos Acetyls Hull,Dispersed,heat_pump,2038.0,2036,2038,7,,yes
Ineos Acetyls Hull,Dispersed,hydrogen_boiler,2030.0,2028,2030,7,,yes
Ipswich,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Ipswich,Dispersed,gas_boiler_ccs,2042.0,2042,2042,6,,yes
Jacobs Bakery,Merseyside,biomass_boiler,2040.0,2040,2044,7,,yes
Jacobs Bakery,Merseyside,elec_boiler,,2044,2046,3,,yes
Jacobs Bakery,Merseyside,gas_boiler_ccs,,2042,2042,1,,yes
Jacobs Bakery,Merseyside,heat_pump,,2040,2040,1,,yes
Jacobs Bakery,Merseyside,hydrogen_boiler,,2038,2040,3,,yes
Jaguar Land Rover Limited Solihull,Black Country,biomass_boiler,2028.0,2028,2028,6,,yes
Jaguar Land Rover Limited Solihull,Black Country,elec_boiler,,2044,2044,2,,yes
Jaguar Land Rover Limited Solihull,Black Country,gas_boiler_ccs,2030.0,2030,2030,6,,yes
Jaguar Land Rover Limited Solihull,Black Country,heat_pump,2040.0,2036,2040,7,,yes
Jaguar Land Rover Limited Solihull,Black Country,hydrogen_boiler,2032.0,2028,2032,7,,yes
KETTON WORKS,Dispersed,cement_kiln_ccs,2028.0,2028,2044,7,2028.0,
Kemsley Generating Station,Dispersed,elec_boiler,2044.0,2044,2044,7,,yes
Kemsley Generating Station,Dispersed,gas_boiler_ccs,2042.0,2042,2042,7,,yes
Knauf Drywall Sittingbourne,Dispersed,hydrogen_boiler,2030.0,2030,2032,7,2034.0,earlier
Knauf Immingham,Unmapped,hydrogen_boiler,2030.0,2030,2030,7,,yes
Knauf Insulation Queensferry,Merseyside,hydrogen_boiler,2030.0,2030,2030,7,,yes
Kronospan Ltd,Dispersed,biomass_boiler,,2034,2034,1,,yes
Kronospan Ltd,Dispersed,elec_boiler,,2044,2044,1,,yes
Kronospan Ltd,Dispersed,gas_boiler_ccs,2028.0,2028,2036,7,,yes
